,Song,Artist
0,Golden,"HUNTR/X: EJAE, Audrey Nuna & REI AMI"
1,Ordinary,Alex Warren
2,Soda Pop,"Saja Boys: Andrew Choi, Neckwav, Danny Chung, Kevin Woo & samUIL Lee"
3,What I Want,Morgan Wallen Featuring Tate McRae
4,Your Idol,"Saja Boys: Andrew Choi, Neckwav, Danny Chung, Kevin Woo & samUIL Lee"
5,Manchild,Sabrina Carpenter
6,Lose Control,Teddy Swims
7,Daisies,Justin Bieber
8,Love Me Not,Ravyn Lenae
9,Die With A Smile,Lady Gaga & Bruno Mars
10,I Got Better,Morgan Wallen
11,Mutt,Leon Thomas
12,How It's Done,"HUNTR/X: EJAE, Audrey Nuna & REI AMI"
13,Beautiful Things,Benson Boone
14,A Bar Song (Tipsy),Shaboozey
15,Undressed,sombr
16,Tears,Sabrina Carpenter
17,Just In Case,Morgan Wallen
18,Pink Pony Club,Chappell Roan
19,Good News,Shaboozey
20,What It Sounds Like,"HUNTR/X: EJAE, Audrey Nuna & REI AMI"
21,Folded,Kehlani
22,Back To Friends,sombr
23,I'm The Problem,Morgan Wallen
24,Man I Need,Olivia Dean
25,Safe,Cardi B Featuring Kehlani
26,Mystical Magical,Benson Boone
27,Luther,Kendrick Lamar & SZA
28,Takedown,"HUNTR/X: EJAE, Audrey Nuna & REI AMI"
29,Free,"Rumi, JINU, EJAE & Andrew Choi"
30,It Depends,Chris Brown Featuring Bryson Tiller
31,When Did You Get Hot?,Sabrina Carpenter
32,Bottle Rockets,Scotty McCreery & Hootie & The Blowfish
33,Burning Blue,Mariah the Scientist
34,Yukon,Justin Bieber
35,All The Way,BigXthaPlug Featuring Bailey Zimmerman
36,Magnet,Cardi B
37,Romantic Homicide,d4vd
38,Sorry I'm Here For Someone Else,Benson Boone
39,Happen To Me,Russell Dickerson
40,No Broke Boys,Disco Lines & Tinashe
41,Outside,Cardi B
42,Pretty & Petty,Cardi B
43,Bar None,Jordan Davis
44,Pick It Up,Cardi B Featuring Selena Gomez
45,Hello,Cardi B
46,Dead,Cardi B Featuring Summer Walker
47,12 To 12,sombr
48,Hell At Night,BigXthaPlug Featuring Ella Langley
49,Worst Way,Riley Green
50,Nobody's Son,Sabrina Carpenter
51,Revolving Door,Tate McRae
52,Bodega Baddie,Cardi B
53,Back In The Saddle,Luke Combs
54,Sugar On My Tongue,"Tyler, the Creator"
55,Gabriela,KATSEYE
56,Jealous Type,Doja Cat
57,House Again,Hudson Westbrook
58,Somewhere Over Laredo,Lainey Wilson
59,The Dead Dance,Lady Gaga
60,Wildflower,Billie Eilish
61,6 Months Later,Megan Moroney
62,What's Goin On,Cardi B Featuring Lizzo
63,Heart Of Stone,Jelly Roll
64,ErrTime,Cardi B
65,Imaginary Playerz,Cardi B
66,Just Keep Watching,Tate McRae
67,Takedown,"JEONGYEON, JIHYO & CHAEYOUNG Of TWICE"
68,Strategy,Twice
69,Man Of Your Word,Cardi B Featuring Dougie F
70,House Tour,Sabrina Carpenter
71,Better Me For You (Brown Eyes),Max McNown
72,Salute,Cardi B
73,Last One To Know,Gavin Adcock
74,The Subway,Chappell Roan
75,wgft,Gunna Featuring Burna Boy
76,Amen,Shaboozey & Jelly Roll
77,Eternity,Alex Warren
78,Don't Mind If I Do,Riley Green Featuring Ella Langley
79,Marlboro Rojo,Fuerza Regida
80,Shower Tears,Cardi B Featuring Summer Walker
81,Nice To Meet You,Myles Smith
82,Is It A Crime,Mariah the Scientist & Kali Uchis
83,Shot Callin,YoungBoy Never Broke Again
84,Better Than You,Cardi B Featuring Cash Cobain
85,Sparks,Coldplay
86,Sienna,The Marias
87,Go Go Juice,Sabrina Carpenter
88,Breakin' Dishes,Rihanna
89,Holy Water,Marshmello x Jelly Roll
90,20 Cigarettes,Morgan Wallen
91,Principal,Cardi B Featuring Janet Jackson
92,Camera,Ed Sheeran
93,Sugar Talking,Sabrina Carpenter
94,My Man On Willpower,Sabrina Carpenter
95,Which One,Drake & Central Cee
96,Goodbye,Sabrina Carpenter
97,Darlin',Chase Matthew
98,Went Legit,G Herbo
99,What Did I Miss?,Drake
